year,Barking and Dagenham,Barnet,Barnsley,Bath and North East Somerset,Bedfordshire,Bexley,Birmingham,Blackburn with Darwen,Blackpool,Bolton,Bournemouth and Poole,Bradford,Brent,Brighton and Hove,"Bristol, City of",Bromley,Buckinghamshire,Bury,Calderdale,Cambridgeshire,Camden,Cheshire,City of London and Hackney,Cornwall and Isles of Scilly,County Durham,Coventry,Croydon,Cumbria,Darlington,Derby,Derbyshire,Devon,Doncaster,Dorset,Dudley,Ealing,East Berkshire,East Riding of Yorkshire,East Sussex,Enfield,Gateshead,Gloucestershire,Greenwich,Halton and St. Helens,Hammersmith and Fulham,Hampshire,Haringey,Harrow,Hartlepool,Havering,"Herefordshire, County of",Hertfordshire,Hillingdon,Hounslow,Isle of Wight,Islington,Kensington and Chelsea,Kent,"Kingston upon Hull, City of",Kingston upon Thames,Kirklees,Knowsley,Lambeth,Lancashire,Leeds,Leicester,Leicestershire and Rutland,Lewisham,Lincolnshire,Liverpool,Luton,Manchester,Medway,Merton and Sutton,Middlesbrough,Milton Keynes,Newcastle upon Tyne,Newham,Norfolk,North East Lincolnshire,North Lincolnshire,North Somerset,North Tyneside,North Yorkshire and York,Northamptonshire,Northumberland,Nottingham,Nottinghamshire,Oldham,Oxfordshire,Peterborough,Plymouth,Portsmouth,Redbridge,Redcar and Cleveland,Richmond upon Thames,Rochdale,Rotherham,Salford,Sandwell,Sefton,Sheffield,Shropshire,Solihull,Somerset,South Gloucestershire,South Tyneside,Southampton,Southwark,Staffordshire,Stockport,Stockton-on-Tees,Stoke-on-Trent,Suffolk,Sunderland,Surrey,Swindon,Tameside and Glossop,Telford and Wrekin,Torbay,Tower Hamlets,Trafford,Wakefield,Walsall,Waltham Forest,Wandsworth,Warrington,Warwickshire,West Berkshire,West Sussex,Westminster,Wigan,Wiltshire,Wirral,Wolverhampton,Worcestershire
2009,177580,345829,228973,173360,405137,228146,1050072,146197,142578,273049,366948,512392,298118,265584,418990,306924,498813,183885,202078,606238,212924,697139,244094,528616,507311,307393,352763,500786,104355,243980,764317,740988,300184,363567,311088,329966,695573,332748,520370,301971,197481,590480,243672,298908,180116,1301706,249805,233495,91530,234127,182367,1096599,265665,243366,138361,196704,161893,1435269,256079,157307,414785,147070,294050,1164141,743885,319708,679672,270418,705599,457523,195449,483784,260230,386303,137273,240178,273422,286447,846355,158689,165572,201711,199017,788794,683464,314489,294808,920406,222811,502794,178963,253116,198983,270435,135867,184394,210248,256313,228948,302303,274153,538385,302069,205470,526592,259730,148509,230017,281120,841270,282263,189978,245869,718183,276209,1113665,204371,217417,164889,131641,240495,223065,324467,264774,248140,299347,200057,542131,153039,796039,216980,314363,466711,317771,246016,562296
2010,182838,351438,230066,174267,408995,230711,1061074,146966,142753,275168,373760,518002,304785,269495,423044,308560,502820,184755,203049,614899,214725,698604,249077,532022,510628,311674,357951,500165,105028,247035,767948,743908,301299,364317,312206,334073,703627,333599,523651,307648,198731,594097,249171,300005,180842,1312347,252742,237451,91773,236234,182865,1107641,269465,249236,138364,200129,160463,1451905,256174,158648,418339,146398,297650,1167579,747571,324912,683962,272525,711805,461403,199583,492598,262738,388457,137667,245450,276681,299171,852926,158951,166539,202967,200164,794098,688011,315463,299753,924982,223807,507351,181762,254227,202700,275088,135383,186304,210758,256893,231837,306181,273820,544613,304523,206329,528609,261471,148468,233085,283777,845272,282614,190902,247381,723976,275980,1125804,206939,218774,165641,131443,248520,225234,325595,266834,254009,302620,201309,544166,153943,803154,217187,316296,470199,319078,247640,564080
2011,187029,357538,231865,175538,413484,232774,1074283,147657,142080,277296,379441,523115,312245,272952,428074,310554,506550,185422,204170,622312,220087,700262,254594,535984,512994,316915,364815,499817,105584,248943,770688,747709,302468,365897,313261,339314,709789,334673,527209,313935,200349,598289,255483,301127,182445,1322118,255540,240499,92088,237927,183619,1119824,275499,254927,138392,206285,158251,1466466,256123,160436,422970,145903,304481,1171558,750683,329627,688760,276938,714768,465656,203641,502902,264885,391666,138368,249895,279092,310460,859426,159735,167516,203091,201206,798989,693967,316278,303899,929048,225157,512539,184457,256589,205433,281395,135164,187527,211929,257716,234487,309042,273969,551756,307108,206856,531581,263417,148164,235870,288717,849546,283253,191824,248719,730133,275330,1135367,209709,219727,166831,131193,256012,227091,326433,269524,259742,307710,202709,546554,154148,808919,219582,318122,474319,319837,249852,566557
2012,190663,363777,233762,177196,418960,234308,1085198,147854,142037,279084,382788,524386,314593,275724,433043,314039,510983,186150,205200,625908,224809,702607,258824,540528,514261,322504,369189,499205,105503,250582,773726,753102,302920,366966,313570,340332,716104,335901,531088,317257,200272,602216,259986,301905,182117,1331394,257898,241978,92261,239742,185197,1129291,281179,258518,138826,211273,156912,1480151,257012,163200,425346,145942,309366,1175370,757566,332067,693278,280705,719184,470191,205498,510501,268130,395523,138726,252773,281893,316295,864847,159788,168351,204454,201444,803075,700331,316489,308463,933103,225734,517073,186596,257744,206517,284625,134976,188971,211947,258424,236946,311245,273798,557276,308416,207450,535197,266193,148311,238519,293440,852039,283766,192487,249792,732802,275764,1144046,211918,220201,167811,131480,263624,228308,327890,270844,262456,309497,203795,548320,154704,815960,223737,318740,476914,320389,251076,569301
2013,194576,368301,235811,179460,425346,236816,1092190,147763,141603,280271,385178,525936,317112,277991,438386,318167,515533,186468,206136,628918,230486,704075,263467,543999,515923,328423,373628,498499,105726,251312,776639,757930,303693,368555,314357,342108,722179,336072,534904,320317,200098,605959,264097,302295,181421,1340180,261033,243004,92662,242142,186389,1140618,285996,261275,138555,215855,157141,1493114,257188,165657,427831,146091,312700,1178594,760894,334631,698708,284956,724523,471789,207404,513665,270689,399424,138911,256376,285821,321465,870296,159963,168716,206182,202167,806837,705655,316389,310657,940245,226966,520176,188371,258592,206670,288850,134960,191138,212137,258817,238674,313980,273372,560199,309085,209140,538370,268951,148384,239858,298663,856837,284890,193433,250194,735844,276089,1154136,214028,220545,168642,132201,273616,230146,329847,271955,265650,313091,205165,549517,156031,822940,225306,319810,479911,320670,251708,572613
2014,198650,373745,237971,181241,431845,240016,1101521,147416,140898,280788,388358,527567,320101,280650,443791,321602,520900,187287,207042,635186,236022,706878,269251,548253,517573,335018,377073,498376,105877,252313,780382,764702,304398,369485,315653,342997,729495,337242,540503,324409,200781,611739,268853,303692,181679,1349627,264398,245149,92606,246030,187737,1154195,291368,264030,139332,221405,157830,1509301,257414,168433,429998,146429,316637,1182605,765430,338491,704945,290284,731886,474569,210173,518834,273212,402552,138991,260225,288340,328066,877388,160019,169213,208185,202857,808384,713351,316832,314385,946136,228182,524857,190493,260512,208037,293853,135102,193315,212976,260256,241539,316289,273856,563463,310774,210227,542203,270994,148572,242106,302818,859870,286388,194423,250956,742499,276782,1164095,215991,220696,169768,133264,284596,232319,331720,273933,267801,316536,206681,552450,156633,830512,229899,321114,484560,321503,253250,575993
2015,203101,378778,239855,184287,438797,242387,1112950,147856,140162,281828,390889,529879,323443,284073,450640,325303,527114,187788,207832,641524,243837,709671,275313,552618,519347,344288,380070,498581,105998,253875,783082,772406,305496,371636,316331,344285,736421,336756,545021,328738,201724,617527,274542,304311,182183,1356994,268251,246818,92498,249375,188522,1165332,296056,266412,139763,227507,158589,1523100,258587,171609,432855,147262,320736,1188875,773213,344036,711762,294999,737350,480873,213581,529809,275176,405835,139310,263181,290764,336254,884748,159971,169843,209941,202725,811801,722167,316453,318936,951771,230197,528036,193657,261386,210538,297928,135324,194124,214314,260929,245186,319101,274089,569177,312227,210834,546466,273952,148495,246054,308434,862166,288169,195128,251746,747734,276813,1172382,217584,221507,171677,133791,293828,232975,334017,275880,270671,319477,207781,555154,157460,838525,238047,322244,488487,321700,255106,579050
2016,208182,384774,241847,186946,445545,245095,1128077,148462,139983,283536,394009,532539,326427,287173,455966,327580,533056,188503,209069,644575,249162,713027,280485,557388,521776,353215,383301,498793,106327,256203,786734,778831,307374,373288,317558,344802,742943,337804,549557,332127,202628,623094,279139,305786,181783,1365103,272078,248697,92845,253371,189532,1176386,299899,268270,140264,232055,156773,1540438,260035,173703,435236,148001,323063,1195418,781087,349513,719415,298903,744811,487605,215914,541319,276957,408651,140326,266240,293713,344533,891731,159828,170807,211747,203575,816458,732452,317444,324779,958118,232349,531849,196735,262355,213335,301328,135496,195187,216350,262142,248121,322631,274853,574050,314392,212166,551446,276677,149194,250377,311655,866430,289821,195958,253659,751175,277307,1180956,218580,223109,173727,134406,300943,234210,337094,278887,274222,321497,208973,558991,158576,846888,241974,323526,492240,322216,258017,583491
2017,210711,387803,243341,188678,449942,246124,1137123,148772,139870,284813,395638,534800,329102,288155,459252,329391,535918,189628,209454,648237,253361,716832,283583,563608,523662,360149,384837,498375,106347,257034,791966,787171,308940,375051,319419,342736,747340,338061,552259,332705,202419,628139,282849,306926,182998,1370728,271224,248880,93019,256039,191041,1180934,302343,269100,140984,235000,155741,1554636,260673,174609,437145,148560,324048,1201855,784846,353540,729686,301307,751171,491549,214658,545501,277616,409295,140639,267521,295842,347996,898390,159826,171294,212834,204473,819796,741209,319030,329209,965453,233759,534842,198914,263070,214718,301785,136005,195680,218459,263375,251332,325460,274589,577789,317459,213933,555195,279027,149555,252359,314232,870825,291045,196487,255378,756978,277249,1185321,220363,224119,175768,135247,307964,235493,340790,281293,275505,323257,209704,564562,158473,852353,244796,324650,496043,322796,259926,588370
2018,211998,392140,245199,192106,455229,247258,1141374,148942,139305,285372,395784,537173,330795,290395,463405,331096,540059,190108,210082,651482,262226,721292,288371,568210,526980,366785,385346,498888,106566,257174,796142,795286,310542,376484,320626,341982,752876,339614,554590,333869,202508,633558,286186,308481,185426,1376316,270624,250149,93242,257810,192107,1184365,304824,270782,141538,239142,156197,1568623,260645,175470,438727,149571,325917,1210053,789194,355218,737965,303536,755833,494814,214109,547627,277855,410711,140545,268607,300196,352005,903680,159821,172005,213919,205985,824398,747622,320274,331069,972287,235623,538363,201041,263100,215133,303858,136718,196904,220001,264671,254408,327378,275396,582506,320274,214909,559399,282644,150265,252796,317256,875219,291775,197213,255833,758556,277417,1189934,221996,225197,177799,135780,317705,236370,345038,283378,276700,326474,209547,571010,158527,858852,255324,326088,498064,323235,262008,592057
2019,212906,395869,246866,193282,461940,248287,1141816,149696,139446,287550,395331,539776,329771,290885,463377,332336,543973,190990,211455,653537,270029,727223,290841,571802,530094,371521,386710,500012,106803,257302,802694,802375,311890,378508,321596,341806,756409,341173,557229,333794,202055,637070,287942,309995,185143,1382542,268647,251160,93663,259552,192801,1189519,306870,271523,141771,242467,156129,1581555,259778,177507,439787,150862,326034,1219799,793139,354224,746082,305842,761224,498042,213052,552858,278556,412897,140980,269457,302820,353134,907760,159563,172292,215052,207913,828672,753278,322434,332900,978727,237110,541164,202259,262100,214905,305222,137150,198019,222412,265411,258834,328450,276410,584853,323136,216374,562225,285093,150976,252520,318830,879560,293423,197348,256375,761350,277705,1196236,222193,226493,179854,136264,324745,237354,348312,285478,276983,329677,210014,577933,158450,863980,261317,328662,500024,324011,263357,595786
