Police Force, Cocaine , Crack , Ecstasy , Heroin , LSD , Methadone , Morphine , Herbal Cannabis , Cannabis Resin , Cannabis Plants ,Amphetamines,Barbiturates , Anabolic steroids , Benzodiazepines , GHB , Ketamine , Temazepam 
Cleveland,1.51,0.58,0.03,2.14,0.00,3.41,0.08,5.48,2.87,940.00,11.69,0.00,0.15,1.63,0.00,0.07,0.11
Durham,1.15,0.01,0.39,0.78,0.00,2.53,0.84,38.21,5.73,5927.00,3.75,0.00,1.60,4.22,0.00,0.06,2.69
Northumbria,31.46,0.03,0.84,0.70,0.00,4.38,0.26,84.20,110.49,10509.00,49.31,0.00,4.65,19.14,0.00,0.17,0.99
Cheshire,0.69,0.01,2.40,1.05,2.00,0.23,0.00,5.64,8.66,1831.00,8.64,0.00,0.34,0.05,0.00,0.00,0.00
Cumbria,3.78,0.04,15.78,0.32,0.00,1.30,0.01,7.81,102.63,837.00,1.63,0.00,14.28,16.83,0.00,0.00,1.43
Greater Manchester,22.50,1.18,8.41,11.79,0.03,1.81,0.02,1020.15,104.97,67689.00,14.91,0.00,4.76,29.18,0.15,1.79,0.06
Lancashire,7.21,0.44,0.34,4.02,0.01,0.55,0.01,11.18,5.32,6777.00,2.81,0.00,0.00,17.47,0.00,0.02,0.28
Merseyside,16.04,0.50,165.24,42.97,0.00,0.51,0.25,123.68,9724.76,13288.00,61.19,0.00,0.61,97.98,0.00,0.08,1.05
Humberside,2.50,3.89,9.11,15.21,0.01,1.80,0.00,30.74,9.23,15715.00,24.63,0.00,1.71,42.63,0.00,0.05,0.04
North Yorkshire,0.53,0.05,0.11,0.33,0.00,0.18,0.00,17.36,1.47,3577.00,1.95,0.00,0.02,13.99,0.08,0.02,0.00
South Yorkshire,12.50,3.80,3.08,13.91,0.00,1.27,0.02,156.30,12.22,22250.00,10.60,0.00,3.66,210.37,0.00,3.00,0.21
West Yorkshire,0.43,0.17,0.44,0.20,0.00,0.77,0.00,195.34,22.49,26453.00,0.13,0.00,0.10,0.03,0.00,0.00,0.03
Derbyshire,43.17,0.45,0.46,0.63,0.02,8.35,1.00,37.18,4.03,26552.00,22.36,0.00,3.66,14.88,0.00,0.36,0.01
Leicestershire,0.37,0.78,0.04,14.10,0.32,1.51,0.06,32.05,0.33,17696.00,0.44,0.00,0.64,0.88,0.00,0.09,0.01
Lincolnshire,1.50,0.03,0.23,0.56,0.13,0.54,0.00,6.24,0.04,102.00,19.36,0.00,0.83,0.39,0.00,0.13,0.00
Northamptonshire,1.69,0.10,0.04,1.05,0.00,6.70,0.46,1357.60,1.98,11099.00,0.71,0.00,2.67,1.61,0.00,0.12,0.03
Nottinghamshire,4.90,0.60,4.93,3.91,0.00,1.45,0.00,194.23,10.61,14227.00,62.73,0.00,1.87,2.34,1.38,0.01,0.00
Staffordshire,9.64,0.47,0.81,8.61,0.00,8.86,0.01,43.50,8.86,18825.00,1.04,0.00,0.76,0.42,0.07,0.02,0.04
Warwickshire,0.20,0.09,1.02,0.13,0.00,0.20,0.02,47.53,0.31,4472.00,5.76,0.00,0.01,0.01,0.00,0.02,0.02
West Mercia,2.96,0.21,0.08,0.37,0.01,6.48,0.00,59.29,6.27,2589.00,2.86,0.01,0.18,1.26,0.98,0.08,0.04
West Midlands,1.30,0.93,11.66,0.61,0.00,2.56,0.06,83.52,3.34,103407.00,0.37,0.01,0.35,12.62,0.00,0.01,0.26
Bedfordshire,1.76,0.75,0.29,0.25,0.00,0.45,0.01,42.91,0.24,40061.00,0.07,0.00,0.05,0.03,0.00,0.02,0.00
Cambridgeshire,1.12,0.27,0.17,0.54,0.00,0.72,0.00,10.93,0.34,10604.00,0.68,0.00,0.02,1.55,0.00,0.13,0.08
Essex,10.47,0.38,4.95,0.71,0.00,0.12,0.01,119.11,142.75,34466.00,4.06,0.00,0.16,3.87,0.00,0.12,0.03
Hertfordshire,7.22,0.55,0.33,1.37,0.00,0.56,0.00,89.69,2.39,7206.00,1.21,0.00,0.00,0.02,0.00,0.00,0.00
Norfolk,1.58,0.03,0.00,0.05,0.00,5.58,0.00,202.39,1.11,483.00,0.72,0.00,0.00,0.03,0.00,0.01,0.00
Suffolk,0.28,0.04,0.04,0.06,0.00,0.20,0.30,3.39,9.84,4058.00,0.07,0.09,0.00,5.79,0.00,0.98,0.00
"London, City of",0.29,0.00,0.29,0.00,0.00,0.00,0.00,2.41,0.31,1.00,0.01,0.00,0.12,0.00,0.00,0.02,0.00
Metropolitan Police,585.68,12.01,14.00,62.85,0.24,3.92,0.87,2240.35,595.97,90663.00,24.90,0.00,0.36,10.07,0.00,14.59,0.03
Hampshire,4.46,0.68,1.71,5.74,0.06,2.36,0.03,35.52,29.21,12252.00,7.56,0.00,0.53,19.05,0.00,0.10,0.04
Kent,2.75,0.39,0.40,0.44,0.02,0.00,0.00,28.35,7.73,7895.00,2.71,0.00,0.12,0.13,0.00,0.08,0.00
Surrey,5.65,0.11,0.35,0.26,0.00,1.33,0.25,122.41,1058.35,9735.00,129.28,0.00,1.56,1.41,0.05,1.00,0.09
Sussex,20.71,1.39,3.19,2.78,0.19,4.67,2.16,218.24,41.26,27654.00,4.94,0.06,1.70,3.55,0.02,7.38,1.11
Thames Valley,30.71,1.69,1.83,101.27,0.04,58.25,0.00,101.22,119.54,25991.00,0.84,0.00,228.58,17.10,0.22,182.13,0.00
Avon and Somerset,10.84,1.03,0.56,2.32,0.33,5.55,0.50,146.66,7.64,23428.00,8.58,0.12,43.67,13.08,0.00,4.78,0.05
Devon and Cornwall,4.04,0.03,0.29,0.47,0.00,24.69,0.12,29.35,3.05,5515.00,15.49,0.00,0.28,17.01,0.00,0.07,0.01
Dorset,2.96,0.34,0.04,1.51,0.00,3.68,0.00,21.24,2.28,2507.00,7.45,0.00,1.78,0.64,0.00,2.32,0.01
Gloucestershire,2.66,0.63,100.51,0.63,0.00,0.06,0.01,11.90,2.26,2404.00,0.66,0.00,3.12,0.33,0.00,0.23,0.02
Wiltshire,0.37,0.70,0.68,0.45,0.00,0.29,0.01,18.76,2.33,1833.00,1.68,0.01,0.06,0.34,0.00,0.03,0.00
British Transport Police,0.42,0.06,0.35,2.40,0.02,0.14,0.00,18.43,3.36,450.00,5.10,0.02,0.16,0.38,0.01,0.68,0.00
Border Force,1519.35,13.94,0.30,420.36,0.86,,0.12,13596.93,15343.64,0.00,137.32,,2459.35,,0.00,580.88,