year,Cocaine,Crack,Ecstasy,Heroin,LSD,Methadone,Morphine,Herbal cannabis,Cannabis resin,Cannabis plants,Amphetamines,Barbiturates,Ketamine,Anabolic steroids,Benzodiazepines,GHB,Temazepam
2009,2915.89409,33.21152,579.25086,1552.17714,19.92000,205.48596,3.22956,33362.72248,31798.76718,643510.00000,2938.67348,23.42200,27.04163,3947.79003,3159.97782,2.03206,209.05695
2010,2642.67121,59.32004,222.50778,1516.35255,5.05600,150.23836,5.97155,17950.92718,12562.57841,758943.00000,1325.96874,0.59680,293.48227,3486.46877,6821.67553,4.32366,141.29635
2011,2387.16474,50.01187,424.58487,731.71350,6.18100,172.41914,7.51802,20693.48463,18658.53041,729584.00000,711.01192,0.32700,801.95329,2797.19237,784.74088,4.99875,9.30129
2012,3460.80787,34.68719,769.67909,1848.71945,5.30800,84.92962,39.50690,22326.16042,19478.18068,639227.00000,1062.24289,0.15600,80.70647,1040.31564,443.71162,1.95799,35.59000
2013,3037.53038,41.05790,633.63105,752.03974,3.52800,102.03001,6.48400,12363.00064,11326.73318,516666.00000,1436.69183,0.18400,243.86289,1487.55566,525.07785,0.58181,41.09355
2014,3415.74335,47.60676,1084.46645,642.18079,5.24620,75.35672,6.52896,17982.82020,736.00258,458062.00000,1217.42652,0.07100,360.21544,2939.12994,358.99310,0.45307,7.45646
2015,3386.91239,31.98036,1125.00329,1113.37693,3.48000,59.63784,14.06910,15105.21339,7405.25750,366841.00000,612.21055,1.53100,107.86009,16000.26843,344.47764,1.76926,4.38110
2016,4240.12597,41.98386,801.29378,805.96148,2.32000,47.46925,6.93460,30492.74995,7034.75063,393702.00000,458.88649,0.10800,307.57997,4949.03903,246.54398,1.36552,1.33578
2017,5515.91250,39.01735,498.33112,782.57460,1.77400,56.27472,7.96492,11861.23868,5837.54323,318988.00000,1242.01736,0.08800,253.47580,5180.28730,567.43812,9.83204,1.02851
2018,3338.18284,57.88227,682.86387,494.12361,3.35150,53.18884,9.25566,28669.18216,7781.30750,354540.00000,1592.68446,0.10500,246.51838,1740.54751,547.96516,0.58425,4.08500
2019,9644.55235,62.66324,2248.85018,754.33521,54.07010,30.30317,21.83130,16691.76070,4625.76691,395843.00000,668.08502,0.74300,155.23453,2693.42225,567.27528,0.71762,1.10004